,Year,Region,Race_or_Ethnicity,Sex,Age_Group,Opioid_Poisoning_Deaths,total
817,2006,NYC,White Non Hispanic,F,25-34,5,27717
818,2006,NYC,White Non Hispanic,F,55-64,5,27717
819,2006,NYC,White Non Hispanic,F,35-44,19,27717
820,2006,NYC,White Non Hispanic,F,45-54,23,27717
825,2006,NYC,White Non Hispanic,M,85+,1,27717
826,2006,NYC,White Non Hispanic,M,65-74,2,27717
827,2006,NYC,White Non Hispanic,M,19-Oct,4,27717
828,2006,NYC,White Non Hispanic,M,20-24,18,27717
829,2006,NYC,White Non Hispanic,M,55-64,22,27717
830,2006,NYC,White Non Hispanic,M,25-34,37,27717
831,2006,NYC,White Non Hispanic,M,35-44,53,27717
832,2006,NYC,White Non Hispanic,M,45-54,54,27717
842,2006,ROS,Black Non Hispanic,F,55-64,3,27717
843,2006,ROS,Black Non Hispanic,F,35-44,4,27717
844,2006,ROS,Black Non Hispanic,F,45-54,7,27717
852,2006,ROS,Black Non Hispanic,M,25-34,1,27717
853,2006,ROS,Black Non Hispanic,M,65-74,1,27717
854,2006,ROS,Black Non Hispanic,M,45-54,2,27717
855,2006,ROS,Black Non Hispanic,M,55-64,2,27717
856,2006,ROS,Black Non Hispanic,M,35-44,4,27717
866,2006,ROS,Hispanic,F,25-34,1,27717
867,2006,ROS,Hispanic,F,45-54,1,27717
868,2006,ROS,Hispanic,F,35-44,3,27717
878,2006,ROS,Hispanic,M,25-34,3,27717
879,2006,ROS,Hispanic,M,35-44,7,27717
880,2006,ROS,Hispanic,M,45-54,7,27717
901,2006,ROS,Not Stated,M,45-54,1,27717
912,2006,ROS,Other Non Hispanic,F,25-34,1,27717
913,2006,ROS,Other Non Hispanic,F,45-54,1,27717
922,2006,ROS,Other Non Hispanic,M,20-24,1,27717
923,2006,ROS,Other Non Hispanic,M,25-34,1,27717
924,2006,ROS,Other Non Hispanic,M,45-54,1,27717
925,2006,ROS,Other Non Hispanic,M,55-64,1,27717
930,2006,ROS,White Non Hispanic,F,65-74,1,27717
931,2006,ROS,White Non Hispanic,F,19-Oct,3,27717
932,2006,ROS,White Non Hispanic,F,75-84,4,27717
933,2006,ROS,White Non Hispanic,F,20-24,10,27717
934,2006,ROS,White Non Hispanic,F,55-64,13,27717
935,2006,ROS,White Non Hispanic,F,25-34,22,27717
936,2006,ROS,White Non Hispanic,F,35-44,23,27717
937,2006,ROS,White Non Hispanic,F,45-54,38,27717
941,2006,ROS,White Non Hispanic,M,85+,1,27717
942,2006,ROS,White Non Hispanic,M,65-74,3,27717
943,2006,ROS,White Non Hispanic,M,75-84,4,27717
944,2006,ROS,White Non Hispanic,M,19-Oct,14,27717
945,2006,ROS,White Non Hispanic,M,55-64,21,27717
946,2006,ROS,White Non Hispanic,M,20-24,34,27717
947,2006,ROS,White Non Hispanic,M,25-34,52,27717
948,2006,ROS,White Non Hispanic,M,35-44,74,27717
949,2006,ROS,White Non Hispanic,M,45-54,96,27717
956,2007,NYC,Black Non Hispanic,F,9-Jan,1,27717
957,2007,NYC,Black Non Hispanic,F,25-34,1,27717
958,2007,NYC,Black Non Hispanic,F,65-74,1,27717
959,2007,NYC,Black Non Hispanic,F,35-44,6,27717
960,2007,NYC,Black Non Hispanic,F,55-64,8,27717
961,2007,NYC,Black Non Hispanic,F,45-54,17,27717
968,2007,NYC,Black Non Hispanic,M,19-Oct,1,27717
969,2007,NYC,Black Non Hispanic,M,75-84,1,27717
970,2007,NYC,Black Non Hispanic,M,25-34,4,27717
971,2007,NYC,Black Non Hispanic,M,35-44,6,27717
972,2007,NYC,Black Non Hispanic,M,55-64,7,27717
973,2007,NYC,Black Non Hispanic,M,45-54,26,27717
982,2007,NYC,Hispanic,F,55-64,4,27717
983,2007,NYC,Hispanic,F,25-34,5,27717
984,2007,NYC,Hispanic,F,45-54,7,27717
985,2007,NYC,Hispanic,F,35-44,10,27717
993,2007,NYC,Hispanic,M,20-24,4,27717
994,2007,NYC,Hispanic,M,55-64,12,27717
995,2007,NYC,Hispanic,M,25-34,22,27717
996,2007,NYC,Hispanic,M,45-54,29,27717
997,2007,NYC,Hispanic,M,35-44,30,27717
1019,2007,NYC,Not Stated,M,35-44,2,27717
1042,2007,NYC,Other Non Hispanic,M,20-24,1,27717
1043,2007,NYC,Other Non Hispanic,M,25-34,3,27717
1048,2007,NYC,White Non Hispanic,F,65-74,1,27717
1049,2007,NYC,White Non Hispanic,F,75-84,1,27717
1050,2007,NYC,White Non Hispanic,F,85+,2,27717
1051,2007,NYC,White Non Hispanic,F,20-24,4,27717
1052,2007,NYC,White Non Hispanic,F,55-64,7,27717
1053,2007,NYC,White Non Hispanic,F,25-34,14,27717
1054,2007,NYC,White Non Hispanic,F,35-44,14,27717
1055,2007,NYC,White Non Hispanic,F,45-54,21,27717
1061,2007,NYC,White Non Hispanic,M,19-Oct,3,27717
1062,2007,NYC,White Non Hispanic,M,65-74,3,27717
1063,2007,NYC,White Non Hispanic,M,20-24,9,27717
1064,2007,NYC,White Non Hispanic,M,55-64,24,27717
1065,2007,NYC,White Non Hispanic,M,25-34,33,27717
1066,2007,NYC,White Non Hispanic,M,35-44,47,27717
1067,2007,NYC,White Non Hispanic,M,45-54,49,27717
1075,2007,ROS,Black Non Hispanic,F,35-44,1,27717
1076,2007,ROS,Black Non Hispanic,F,55-64,1,27717
1077,2007,ROS,Black Non Hispanic,F,75-84,1,27717
1078,2007,ROS,Black Non Hispanic,F,25-34,3,27717
1079,2007,ROS,Black Non Hispanic,F,45-54,11,27717
1085,2007,ROS,Black Non Hispanic,M,19-Oct,1,27717
1086,2007,ROS,Black Non Hispanic,M,65-74,1,27717
1087,2007,ROS,Black Non Hispanic,M,20-24,2,27717
1088,2007,ROS,Black Non Hispanic,M,25-34,2,27717
1089,2007,ROS,Black Non Hispanic,M,55-64,3,27717
1090,2007,ROS,Black Non Hispanic,M,35-44,4,27717
1091,2007,ROS,Black Non Hispanic,M,45-54,6,27717
1099,2007,ROS,Hispanic,F,20-24,1,27717
1100,2007,ROS,Hispanic,F,25-34,1,27717
1101,2007,ROS,Hispanic,F,65-74,1,27717
1102,2007,ROS,Hispanic,F,35-44,2,27717
1103,2007,ROS,Hispanic,F,45-54,3,27717
1110,2007,ROS,Hispanic,M,19-Oct,1,27717
1111,2007,ROS,Hispanic,M,55-64,1,27717
1112,2007,ROS,Hispanic,M,35-44,4,27717
1113,2007,ROS,Hispanic,M,20-24,5,27717
1114,2007,ROS,Hispanic,M,45-54,5,27717
1115,2007,ROS,Hispanic,M,25-34,7,27717
1150,2007,ROS,Other Non Hispanic,F,55-64,2,27717
1160,2007,ROS,Other Non Hispanic,M,20-24,1,27717
1161,2007,ROS,Other Non Hispanic,M,25-34,2,27717
1165,2007,ROS,White Non Hispanic,F,19-Oct,2,27717
1166,2007,ROS,White Non Hispanic,F,65-74,2,27717
1167,2007,ROS,White Non Hispanic,F,75-84,2,27717
1168,2007,ROS,White Non Hispanic,F,85+,2,27717
1169,2007,ROS,White Non Hispanic,F,20-24,3,27717
1170,2007,ROS,White Non Hispanic,F,25-34,20,27717
1171,2007,ROS,White Non Hispanic,F,55-64,25,27717
1172,2007,ROS,White Non Hispanic,F,35-44,45,27717
1173,2007,ROS,White Non Hispanic,F,45-54,62,27717
1179,2007,ROS,White Non Hispanic,M,85+,2,27717
1180,2007,ROS,White Non Hispanic,M,19-Oct,8,27717
1181,2007,ROS,White Non Hispanic,M,55-64,31,27717
1182,2007,ROS,White Non Hispanic,M,20-24,37,27717
1183,2007,ROS,White Non Hispanic,M,35-44,83,27717
1184,2007,ROS,White Non Hispanic,M,45-54,85,27717
1185,2007,ROS,White Non Hispanic,M,25-34,90,27717
